Date;CME_Ether_future_index
26.02.21;100
01.03.21;104,74
02.03.21;101,53
03.03.21;109,03
04.03.21;105,47
05.03.21;105,8
08.03.21;122,6
09.03.21;126,73
10.03.21;124,78
11.03.21;125,19
12.03.21;120,18
15.03.21;123,15
16.03.21;123,25
17.03.21;126,05
18.03.21;122,14
19.03.21;126,47
22.03.21;120,54
23.03.21;118,54
24.03.21;114,09
25.03.21;111,63
26.03.21;115,89
29.03.21;125,96
30.03.21;128,76
31.03.21;132,21
01.04.21;137,41
05.04.21;146,19
06.04.21;146,55
07.04.21;136,53
08.04.21;142,24
09.04.21;143,58
12.04.21;148,7
13.04.21;159,71
14.04.21;161,07
15.04.21;171,93
16.04.21;168,09
19.04.21;150,63
20.04.21;160,12
21.04.21;167,9
22.04.21;174,64
23.04.21;163,68
26.04.21;172,82
27.04.21;182,58
28.04.21;190,92
29.04.21;190,29
30.04.21;193,63
03.05.21;228,28
04.05.21;235,98
05.05.21;240,72
06.05.21;240,79
07.05.21;243,21
10.05.21;275,15
11.05.21;280,8
12.05.21;280,95
13.05.21;251,25
14.05.21;279,22
17.05.21;233,05
18.05.21;234,06
19.05.21;179,92
20.05.21;193,72
21.05.21;163,09
24.05.21;182,94
25.05.21;173,88
26.05.21;189,69
27.05.21;190,85
28.05.21;172,8
01.06.21;175,69
02.06.21;190,31
03.06.21;192,79
04.06.21;185,43
07.06.21;188,11
08.06.21;172,51
09.06.21;176,58
10.06.21;168,87
11.06.21;165,08
14.06.21;174,61
15.06.21;174,23
16.06.21;166,04
17.06.21;160,85
18.06.21;148,25
21.06.21;133,69
22.06.21;131,2
23.06.21;132,72
24.06.21;139,1
25.06.21;127,8
28.06.21;145,86
29.06.21;153,31
30.06.21;154,99
01.07.21;144,75
02.07.21;144,68
06.07.21;160,33
07.07.21;163,09
08.07.21;148,4
09.07.21;146,53
12.07.21;138,85
13.07.21;131,95
14.07.21;135,84
15.07.21;131,67
16.07.21;131,38
19.07.21;125,19
20.07.21;122,77
21.07.21;133,2
22.07.21;139,3
23.07.21;138,99
26.07.21;163,06
27.07.21;153,64
28.07.21;159,56
29.07.21;159,08
30.07.21;164,17
02.08.21;179,14
03.08.21;170,45
04.08.21;185,36
05.08.21;192,74
06.08.21;201,8
09.08.21;216,71
10.08.21;216,4
11.08.21;224,02
12.08.21;210,02
13.08.21;221,76
16.08.21;218,46
17.08.21;214,38
18.08.21;208,12
19.08.21;216,62
20.08.21;223,87
23.08.21;227,67
24.08.21;221,41
25.08.21;222,65
26.08.21;214,38
27.08.21;223,87
30.08.21;231,09
31.08.21;235,91
01.09.21;256,9
02.09.21;261,07
03.09.21;272,53
07.09.21;234,85
08.09.21;242,71
09.09.21;238,16
10.09.21;227,33
13.09.21;224,12
14.09.21;230,4
15.09.21;243,15
16.09.21;245,44
17.09.21;235,74
20.09.21;211,56
21.09.21;199,41
22.09.21;208,73
23.09.21;217,57
24.09.21;200,55
27.09.21;206,81
28.09.21;195,5
29.09.21;193,45
30.09.21;206,28
01.10.21;228,04
04.10.21;236,63
05.10.21;241,85
06.10.21;248,27
07.10.21;248,88
08.10.21;251,15
11.10.21;243,09
12.10.21;239,45
13.10.21;243,67
14.10.21;261,77
15.10.21;265,84
18.10.21;259,06
19.10.21;263,68
20.10.21;283,8
21.10.21;280,77
22.10.21;275,12
25.10.21;289,62
26.10.21;291,94
27.10.21;277,47
28.10.21;295,86
29.10.21;305,4
01.11.21;300,53
02.11.21;312,34
03.11.21;320,42
04.11.21;309,92
05.11.21;310,93
08.11.21;329,43
09.11.21;329,58
10.11.21;319,13
11.11.21;326,53
12.11.21;321,67
15.11.21;313,4
16.11.21;288,25
17.11.21;293,62
18.11.21;280,05
19.11.21;295,41
22.11.21;281,13
23.11.21;303,89
24.11.21;296,21
26.11.21;281,93
29.11.21;305,75
30.11.21;322
01.12.21;315,34
02.12.21;311,82
03.12.21;289,22
06.12.21;288,71
07.12.21;295,02
08.12.21;304,39
09.12.21;283,05
10.12.21;277,28
13.12.21;257,04
14.12.21;262,94
15.12.21;278,76
16.12.21;276,05
17.12.21;263,49
20.12.21;269,97
21.12.21;275,6
22.12.21;275,12
23.12.21;283,84
27.12.21;282,08
28.12.21;263,54
29.12.21;257,76
30.12.21;254,98
31.12.21;250,51
03.01.22;253,88
04.01.22;262,49
05.01.22;245,68
06.01.22;234,52
07.01.22;219,87
10.01.22;211,5
11.01.22;222,51
12.01.22;232,02
13.01.22;224,02
14.01.22;226,84
18.01.22;213,9
19.01.22;213,18
20.01.22;219,01
21.01.22;187,85
24.01.22;169,17
25.01.22;167,63
26.01.22;172,79
27.01.22;160,36
28.01.22;172,41
31.01.22;184,52
01.02.22;190,43
02.02.22;187,1
03.02.22;176,77
04.02.22;203,19
07.02.22;216,61
08.02.22;214,41
09.02.22;224,19
10.02.22;213,69
11.02.22;200,34
14.02.22;198,83
15.02.22;214,34
16.02.22;216,86
17.02.22;199,11
18.02.22;191,3
22.02.22;178,76
23.02.22;179,75
24.02.22;181,81
25.02.22;186,41
28.02.22;194,85
01.03.22;204,7
02.03.22;202,99
03.03.22;192,42
04.03.22;179,51
07.03.22;168,7
08.03.22;175,12
09.03.22;184,39
10.03.22;179,72
11.03.22;173,61
14.03.22;173,71
15.03.22;182,57
16.03.22;189,16
17.03.22;194,48
18.03.22;204,28
21.03.22;200,74
22.03.22;205,65
23.03.22;204,26
24.03.22;214,93
25.03.22;214,65
28.03.22;235,66
29.03.22;236,99
30.03.22;233,87
31.03.22;226,39
01.04.22;239,16
04.04.22;240,63
05.04.22;238,19
06.04.22;221,07
07.04.22;221,07
08.04.22;222,17
11.04.22;206,25
12.04.22;203,81
13.04.22;212,01
14.04.22;205,59
18.04.22;206,38
19.04.22;213,83
20.04.22;210,6
21.04.22;207,61
22.04.22;202,72
25.04.22;206,86
26.04.22;194,68
27.04.22;195,95
28.04.22;202,16
29.04.22;191,04
02.05.22;194,92
03.05.22;190,12
04.05.22;203,02
05.05.22;187,3
06.05.22;184,25
09.05.22;155,63
10.05.22;161,74
11.05.22;144,47
12.05.22;133,67
13.05.22;141,56
16.05.22;137,58
17.05.22;140,19
18.05.22;135,72
19.05.22;136,67
20.05.22;134,83
23.05.22;135,72
24.05.22;134,06
25.05.22;133,39
26.05.22;125,12
27.05.22;119,87
31.05.22;132,67
01.06.22;124,81
02.06.22;125,02
03.06.22;119,8
06.06.22;127,83
07.06.22;126,53
08.06.22;122,79
09.06.22;122,2
10.06.22;114,17
13.06.22;84,04
14.06.22;82,64
15.06.22;80,36
16.06.22;74,98
17.06.22;73,91
21.06.22;77,01
22.06.22;73,16
23.06.22;77,04
24.06.22;84,08
27.06.22;81,95
28.06.22;79,1
29.06.22;76,53
30.06.22;69,6
01.07.22;72,92
05.07.22;78,55
06.07.22;78,93
07.07.22;85,52
08.07.22;85,04
11.07.22;78,14
12.07.22;71,21
13.07.22;73,75
14.07.22;81,85
15.07.22;86,89
18.07.22;100,96
19.07.22;107,28
20.07.22;106,45
21.07.22;108,48
22.07.22;104,93
25.07.22;102,68
26.07.22;93,66
27.07.22;109,23
28.07.22;118,94
29.07.22;118,63
01.08.22;111,63
02.08.22;112,49
03.08.22;113,83
04.08.22;109,2
05.08.22;115,72
08.08.22;122,72
09.08.22;116,06
10.08.22;125,02
11.08.22;130,68
12.08.22;132,67
15.08.22;129,86
16.08.22;129,2
17.08.22;126,18
18.08.22;128,14
19.08.22;116,18
22.08.22;106,92
23.08.22;113,07
24.08.22;114,55
25.08.22;116,47
26.08.22;105,49
29.08.22;103,98
30.08.22;104,87
31.08.22;107,07
01.09.22;106,38
02.09.22;105,42
06.09.22;106,49
07.09.22;106,62
08.09.22;112,18
09.09.22;117,36
12.09.22;117,3
13.09.22;108,75
14.09.22;108,24
15.09.22;102,57
16.09.22;97,94
19.09.22;93,41
20.09.22;92,59
21.09.22;90,63
22.09.22;90,75
23.09.22;88,48
26.09.22;90,88
27.09.22;90,64
28.09.22;91,21
29.09.22;91,01
30.09.22;91,42
03.10.22;90,05
04.10.22;92,86
05.10.22;92,42
06.10.22;93,14
07.10.22;90,91
10.10.22;89,36
11.10.22;87,68
12.10.22;88,81
13.10.22;88,02
14.10.22;88,92
17.10.22;90,84
18.10.22;89,05
19.10.22;88,88
20.10.22;87,95
21.10.22;89,22
24.10.22;92,05
25.10.22;102,33
26.10.22;107,17
27.10.22;107,48
28.10.22;107,21
31.10.22;107,48
01.11.22;108,41
02.11.22;105,53
03.11.22;106,11
04.11.22;113,25
07.11.22;109,99
08.11.22;89,77
09.11.22;77,83
10.11.22;89,84
11.11.22;83,01
14.11.22;81,91
15.11.22;85
16.11.22;81,26
17.11.22;80,97
18.11.22;81,42
21.11.22;73,98
22.11.22;73,95
23.11.22;78,62
25.11.22;79,96
28.11.22;79,17
29.11.22;82,74
30.11.22;88,71
01.12.22;86,86
02.12.22;88,57
05.12.22;85,79
06.12.22;85,66
07.12.22;84,21
08.12.22;87,65
09.12.22;86,34
12.12.22;86,68
13.12.22;90,29
14.12.22;89,77
15.12.22;87,13
16.12.22;82,29
19.12.22;80,23
20.12.22;83,05
21.12.22;82,75
22.12.22;82,98
23.12.22;83,07
27.12.22;82,08
28.12.22;80,89
29.12.22;81,13
30.12.22;81,61
03.01.23;82,67
04.01.23;85,72
05.01.23;85,86
06.01.23;86,82
09.01.23;90,63
10.01.23;92,21
11.01.23;92,14
12.01.23;98,63
13.01.23;98,15
17.01.23;109,03
18.01.23;104,43
19.01.23;107,1
20.01.23;113,16
23.01.23;112,83
24.01.23;111,6
25.01.23;109,2
26.01.23;111,02
27.01.23;110,4
30.01.23;107
31.01.23;109,57
01.02.23;112,87
02.02.23;115,99
03.02.23;114,34
06.02.23;113,62
07.02.23;114,82
08.02.23;113,11
09.02.23;108,37
10.02.23;105,04
13.02.23;102,3
14.02.23;107
15.02.23;114,72
16.02.23;115,94
17.02.23;117,95
21.02.23;115,08
22.02.23;111,6
23.02.23;114,1
24.02.23;111,19
27.02.23;112,08
28.02.23;112,46
01.03.23;113,32
02.03.23;113,49
03.03.23;107,1
06.03.23;107,31
07.03.23;106,35
08.03.23;107,24
09.03.23;96,91
10.03.23;97,25
13.03.23;115,58
14.03.23;118,87
15.03.23;113,52
16.03.23;115,92
17.03.23;120,32
20.03.23;121,07
21.03.23;123,68
22.03.23;118,39
23.03.23;125,74
24.03.23;121,53
27.03.23;117,35
28.03.23;123,01
29.03.23;124,85
30.03.23;122,99
31.03.23;126,77
03.04.23;125,63
04.04.23;129
05.04.23;131,88
06.04.23;128,93
10.04.23;130,58
11.04.23;130,65
12.04.23;131,26
13.04.23;139,09
14.04.23;144,17
17.04.23;143,34
18.04.23;143,27
19.04.23;136,2
20.04.23;132,45
21.04.23;126,79
24.04.23;126,02
25.04.23;126,6
26.04.23;126,01
27.04.23;132,43
28.04.23;130,51
01.05.23;124,85
02.05.23;128,59
03.05.23;128,52
04.05.23;128,93
05.05.23;137,58